"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:10.40","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.41","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.42","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.43","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.44","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.45","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.46","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.47","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.48","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.49","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.50","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.51","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.52","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.53","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.54","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.55","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.56","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.57","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.58","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.59","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.60","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.61","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.62","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.63","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.64","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.65","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.66","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.67","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.68","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.69","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.70","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.71","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.72","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.73","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.74","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.75","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.76","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.77","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
